(t1:0.196219079,(((((t7:0.06663895026,t2:0.7316480987):0.09459540411,t5:0.7894584325):0.2270181915,t6:0.6648435646):0.7320983948,t3:0.3568848532):0.2339764086,t4:0.4712708404):0.8272770746);
(((t7:0.7135781201,t3:0.4640863342):0.6510933051,(t6:0.4086791468,t1:0.8791378567):0.27848187):0.6914593421,(t2:0.6657054962,(t5:0.3642243631,t4:0.9264990599):0.8590943371):0.7321539205);
((t6:0.9614237787,(t4:0.55836488,(t5:0.7438454516,t3:0.6969844738):0.1849590065):0.3546528465):0.1815611515,(t1:0.9212464523,(t7:0.638710846,t2:0.1718329045):0.4665570233):0.5848543223);
(((((t1:0.6583510244,t3:0.2695773065):0.6662875907,t5:0.302123161):0.9286860824,(t4:0.4460954128,t6:0.7890595782):0.5455586743):0.9349338086,t2:0.2131131042):0.002085651737,t7:0.827612845);
((t7:0.835610864,(t4:0.5485864861,(t6:0.6760111768,(t2:0.7646513456,t5:0.2791254786):0.5890605301):0.396784906):0.699994365):0.6098305613,(t3:0.2330702785,t1:0.1522536541):0.6177080907);
((t2:0.4026491451,((t4:0.4933188723,t7:0.8608356907):0.9501896997,t3:0.5595784422):0.6453395016):0.7739454084,((t1:0.1151657607,t5:0.4632421141):0.9637088918,t6:0.8564843289):0.03403460584);
(((t3:0.8098687693,t5:0.9990871474):0.4707944072,(t1:0.8735419512,t4:0.3075979676):0.1744544862):0.6751642409,(t7:0.05301793502,(t6:0.0628449684,t2:0.1765653084):0.9995327306):0.9945338666);
((((t7:0.9183116585,t4:0.3838742569):0.2641153212,((t3:0.3394544339,t2:0.03174671624):0.5535377967,t6:0.5851546088):0.2810418385):0.1553855736,t1:0.07877033041):0.1849921655,t5:0.6044863074);
((t1:0.0006001256406,t3:0.7957629559):0.6077482959,((t7:0.2692625932,(t6:0.04700868414,(t4:0.2993116307,t5:0.7351765304):0.2728992885):0.4714966214):0.3770800598,t2:0.3866488456):0.5484439237);
((t2:0.4626757079,((t7:0.4877353858,(t1:0.1534491188,t6:0.4877471968):0.240090146):0.1749062994,(t5:0.60516196,t4:0.7382205427):0.5487960924):0.4072034489):0.813031489,t3:0.5674720882);
(((t5:0.9893014091,t2:0.02769230003):0.4230807237,((t4:0.004178691888,t1:0.5729834922):0.3412416868,(t7:0.2013856657,t6:0.8740529241):0.1616420613):0.808895471):0.541947087,t3:0.06539248303);
((t7:0.978166396,t4:0.5881175119):0.4207730619,(t2:0.6830005639,(((t5:0.01097791921,t6:0.09454893298):0.5739712627,t3:0.6055744414):0.7409323673,t1:0.8872820581):0.6385495693):0.3908976321);
((((t1:0.5797847677,t2:0.2784988596):0.1483449384,(t3:0.5894025625,t7:0.813103185):0.1521111042):0.9541331951,t4:0.9086484874):0.1738773305,(t6:0.927018367,t5:0.5269919746):0.5432533717);
((((t5:0.9469453669,t7:0.01900161058):0.8292237429,(t4:0.7672988526,t2:0.7876533272):0.4119557585):0.1443136574,t6:0.36820344):0.6331096019,(t1:0.1102625295,t3:0.05091559165):0.2111571191);
(((((t2:0.9219427442,t3:0.6043056834):0.5601965461,(t6:0.7377787877,t7:0.01142325299):0.8135632351):0.3488128879,t4:0.9024195492):0.5123548808,t1:0.7076226647):0.06520446087,t5:0.5133997528);
(((((t6:0.3865281972,t2:0.4305443426):0.0117704263,t4:0.8433589884):0.9659448722,t3:0.9549642967):0.5970526335,(t1:0.2808869327,t5:0.8096930746):0.6920123079):0.8705907553,t7:0.6961416963);
((t6:0.03692518594,(t3:0.6812140015,t2:0.6459547402):0.703766614):0.2524500315,((t4:0.28797663,t5:0.7537680198):0.2007764401,(t7:0.6102378606,t1:0.8416039029):0.4365752675):0.6798632699);
(((t2:0.6914212359,t5:0.7290539839):0.8882242274,(t7:0.8257839265,(t4:0.8702998285,t1:0.301519305):0.5475114617):0.2716968867):0.9883564911,(t3:0.8713293194,t6:0.7362256548):0.867185205);
((t4:0.7732672375,((t1:0.2260370583,t3:0.6678489035):0.3402412815,(t2:0.01032799319,t7:0.8315658723):0.2375049216):0.5616766161):0.6645557869,(t5:0.495509817,t6:0.3350095896):0.2738584154);
((t4:0.595999226,((t5:0.02917691646,t6:0.5342132151):0.5258302495,t2:0.3180301823):0.3456840664):0.6303848948,((t3:0.02361396956,t7:0.2800923721):0.4719892379,t1:0.9869750442):0.2698216478);
((t2:0.9674479137,((((t7:0.8882108696,t5:0.5696012357):0.8573590855,t4:0.9060939969):0.8071703624,t3:0.8051696219):0.6386582928,t6:0.3819032942):0.5041447866):0.2652539909,t1:0.6668243774);
((t5:0.1886650047,((t4:0.4412963057,t1:0.550651568):0.6648286432,t7:0.8698542234):0.5401939575):0.4918029902,(t2:0.08298532409,(t3:0.5041224672,t6:0.6952741256):0.9767189557):0.7209116605);
(((t2:0.133690113,t4:0.9174035063):0.09271895955,t7:0.8967859214):0.07751703402,(((t6:0.6276327805,t1:0.9858126678):0.8492380935,t5:0.4648646368):0.3639575948,t3:0.8394110324):0.5196373255);
(t1:0.1043128308,(((t4:0.01324692648,t5:0.9381222588):0.9088697799,(t6:0.6739479788,t3:0.4876556855):0.4792436997):0.8544072746,(t7:0.4994046595,t2:0.4814932593):0.4505667442):0.5779316432);
((t7:0.04980302812,t5:0.08888360835):0.6291592484,((t4:0.6067674472,t6:0.01491884026):0.7267112252,(t3:0.9770863773,(t2:0.7504185128,t1:0.4932853892):0.1949093491):0.5263091298):0.147301492);
(((t7:0.6502505552,(t4:0.5663039698,t3:0.7790325638):0.541752903):0.4725335247,(t6:0.3297663077,t5:0.01845785743):0.4074738708):0.5767360923,(t1:0.196138486,t2:0.815304395):0.2687674568);
((t2:0.6615006973,(t1:0.3031994498,t4:0.952263687):0.7130551895):0.5361984172,(((t6:0.6922602567,t3:0.5735816376):0.3122746167,t7:0.02093190211):0.1320998836,t5:0.918621097):0.03052338795);
((t2:0.9925957241,(t6:0.3416674659,t4:0.7327737827):0.7452752891):0.1520142702,((t5:0.6179718457,t3:0.6422954523):0.05441507814,(t7:0.5966018962,t1:0.908735146):0.2603949131):0.2512498749);
((t4:0.304165456,(t5:0.9956489173,t2:0.5908458175):0.747821732):0.8054050382,((t6:0.7362621808,t7:0.504847934):0.3121475489,(t3:0.08235714352,t1:0.4928871666):0.4185216329):0.6926471409);
((t1:0.157517988,(t4:0.6492102011,((t6:0.1918257303,t3:0.707011228):0.2341533774,t5:0.3363577523):0.06977308518):0.5749406065):0.4208029755,(t2:0.5804462049,t7:0.4301832858):0.3021743956);
((t2:0.2384462936,t3:0.3128332689):0.7166736773,(((t1:0.446938121,(t6:0.1581898567,t5:0.3020082999):0.1610039133):0.4768862901,t7:0.005684235133):0.5719251593,t4:0.3416660586):0.9183059116);
((t4:0.6347282503,((t7:0.7486271283,(t5:0.6692120214,t2:0.1486313595):0.3528163042):0.1419587058,t6:0.5514515943):0.4847044565):0.6156341662,(t3:0.6149013976,t1:0.06964502879):0.7234520486);
((t3:0.1441079341,t7:0.3579291345):0.4909962208,(((t6:0.8704122095,t2:0.4342575967):0.2860190214,(t1:0.7686728719,t5:0.0560808361):0.1565206731):0.3516007371,t4:0.6783626613):0.3511030788);
((t5:0.8891796789,t3:0.5415584329):0.6947304276,((t4:0.09356898675,(t6:0.502802344,t1:0.2035934113):0.5696422532):0.5404681084,(t2:0.1792880464,t7:0.7210644262):0.9299994952):0.8787583015);
((t3:0.5781930352,t5:0.8008784258):0.7495182054,(t2:0.3856275403,(t6:0.8524414613,((t1:0.7777280065,t7:0.9373133264):0.9410507251,t4:0.7005546326):0.2107423875):0.1429191171):0.1645922295);
(t3:0.2848351547,(((t1:0.8573082341,t6:0.9885453363):0.03300797078,t7:0.1029875991):0.5214754404,(t2:0.1094820292,(t5:0.2588200381,t4:0.592266049):0.1615202287):0.8453217079):0.0423656553);
((t5:0.6589179127,(t1:0.04543714435,(t2:0.7357027691,(t6:0.4195672846,t7:0.33552027):0.1352660647):0.04763376061):0.6212651911):0.9464786889,(t3:0.8369800246,t4:0.501721509):0.1472791943);
(((t2:0.5449205865,t3:0.715460367):0.4180296073,t4:0.172656609):0.3876292787,(t6:0.4127999779,(t7:0.2464135448,(t5:0.1153659471,t1:0.1518600206):0.9596619648):0.4956465203):0.2763103233);
((((t6:0.7464448723,(t7:0.5316969159,t2:0.7034886039):0.8762942485):0.5594439425,t4:0.8039917855):0.6990881369,t1:0.0871913142):0.3008797229,(t5:0.3387830122,t3:0.2269345096):0.9550017107);
(((t4:0.02844107663,(t7:0.2385097598,t6:0.7658908498):0.6144226885):0.5522332764,(t2:0.6396378223,t3:0.4718729961):0.9204333704):0.8116119569,(t5:0.9192705997,t1:0.2685266333):0.4902331845);
(t1:0.6341479004,(((t3:0.4448341788,t6:0.1951867728):0.1815745861,(t5:0.03199817217,(t7:0.3588388767,t4:0.6765663365):0.9438026119):0.5683405132):0.7091378029,t2:0.3667603538):0.5595544095);
((((t6:0.1340863011,(t5:0.5218027148,t7:0.1544640407):0.6787649456):0.3162340641,t4:0.9043976124):0.6417491667,t3:0.8487338121):0.6438527051,(t1:0.8910024837,t2:0.2334100783):0.1492299121);
(((t7:0.6180054711,(t6:0.4314378949,t4:0.1663719444):0.3474334821):0.4356987998,t1:0.02991578728):0.2777669833,(t5:0.2217729939,(t3:0.4725379527,t2:0.6574853996):0.0003983932547):0.9246781222);
((t2:0.6000768787,(t7:0.9692333657,t5:0.4183699118):0.9511484215):0.835695764,(((t6:0.5073022796,t3:0.7315717509):0.5203380373,t4:0.935606132):0.5350780648,t1:0.8453351329):0.1134171712);
((t7:0.2419652003,(t6:0.8149568152,t2:0.07992272661):0.5232072053):0.2707480318,((t5:0.6749329239,t3:0.908820899):0.6960613569,(t1:0.6829028281,t4:0.3399767268):0.4162112337):0.7112231988);
(((t7:0.6115489712,(t1:0.08479770808,(t3:0.7864005291,t4:0.2293888228):0.3408147884):0.3301301987):0.8568051092,t6:0.7047127972):0.1110651488,(t5:0.1944707937,t2:0.677994675):0.5636180851);
(((t2:0.7322537634,t7:0.2332132277):0.8993272819,(t6:0.6512439519,((t1:0.375635715,t5:0.9936876912):0.3219586196,t4:0.1860167354):0.3749246693):0.6491371559):0.6994023835,t3:0.6910069247);
